Variavel,FIRST,FOLLOW
P',{inicio},{$}
P,{inicio},{$}
V,{varinicio},"{fim,leia,escreva,id,se,enquanto}"
LV,"{varfim,id}","{fim,leia,escreva,id,se,enquanto}"
D,{id},"{varfim,id}"
TIPO,"{int,real,lit}",{pt_v}
A,"{fim,leia,escreva,id,se,enquanto}",{$}
ES,"{leia,escreva}","{fim,leia,escreva,id,se,enquanto,fimse,fimenquanto}"
ARG,"{literal,num,id}",{pt_v}
CMD,{id},"{fim,leia,escreva,id,se,enquanto,fimse,fimenquanto}"
LD,"{id,num}",{pt_v}
OPRD,"{id,num}","{opm,pt_v,opr,fc_p}"
COND,{se},"{fim,leia,escreva,id,se,enquanto,fimse,fimenquanto}"
CABECALHO,{se},"{leia,escreva,id,fimse,se,enquanto}"
EXP_R,"{id,num}",{fc_p}
CORPO,"{leia,escreva,id,fimse,se,enquanto}","{fim,leia,escreva,id,se,enquanto,fimse,fimenquanto}"
REP,{enquanto},"{leia,escreva,id,fimse,se,enquanto,fim,fimenquanto}"
W,{enquanto},"{leia,escreva,id,fimenquanto,se,enquanto}"
CORPO2,"{leia,escreva,id,fimenquanto,se,enquanto}","{leia,escreva,id,fimse,se,enquanto,fim,fimenquanto}"
