,mensagem
0, ''
1,'inicio’ esperado
2,sentença fora do escopo do programa
3,'inicio’ já declarado
4,'varinicio’ esperado
5,início de sentença inválido
6,';’ não esperado
7,tipo não relacionado a nehuma variável
8,não esperado no escopo de declaração de variáveis
9,variável esperada
10,argumento esperado
11,'rcb’ esperado
12,tipo fora do escopo de declaração de variáveis
13,'(‘ não esperado
14,')’ não esperado
15,fim não esperado no escopo de condicional
16,fim não esperado no escopo de repetição
17,'(‘ esperado
18,variável ou constante numérica esperada
19,operador de relação esperado
20,'entao’ esperado
21,'faca’ esperado
22,')’ esperado
23,fim inesperado do código
24,'varinicio’ já declarada
25,';’ esperado
26,declaração de tipo esperada
27,operação inválida
