,P',P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO,REP,W,CORPO2
0, ,1, , , , , , , , , , , , , , , , , 
1, , , , , , , , , , , , , , , , , , , 
2, , ,3, , , , , , , , , , , , , , , , 
3, , , , , , ,5,6, ,7, , ,8,14, , ,10,15, 
4, , , ,18,19, , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , 
6, , , , , , ,22,6, ,7, , ,8,14, , ,10,15, 
7, , , , , , ,23,6, ,7, , ,8,14, , ,10,15, 
8, , , , , , ,24,6, ,7, , ,8,14, , ,10,15, 
9, , , , , , , , , , , , , , , , , , , 
10, , , , , , ,25,6, ,7, , ,8,14, , ,10,15, 
11, , , , , , , , , , , , , , , , , , , 
12, , , , , , , , ,27, , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , 
14, , , , , , , ,33, ,34, , ,35,14, ,32,37,15, 
15, , , , , , , ,39, ,40, , ,41,14, , ,42,15,38
16, , , , , , , , , , , , , , , , , , , 
17, , , , , , , , , , , , , , , , , , , 
18, , , , , , , , , , , , , , , , , , , 
19, , , ,46,19, , , , , , , , , , , , , , 
20, , , , , , , , , , , , , , , , , , , 
21, , , , , ,48, , , , , , , , , , , , , 
22, , , , , , , , , , , , , , , , , , , 
23, , , , , , , , , , , , , , , , , , , 
24, , , , , , , , , , , , , , , , , , , 
25, , , , , , , , , , , , , , , , , , , 
26, , , , , , , , , , , , , , , , , , , 
27, , , , , , , , , , , , , , , , , , , 
28, , , , , , , , , , , , , , , , , , , 
29, , , , , , , , , , , , , , , , , , , 
30, , , , , , , , , , , , , , , , , , , 
31, , , , , , , , , , ,54,55, , , , , , , 
32, , , , , , , , , , , , , , , , , , , 
33, , , , , , , ,33, ,34, , ,35,14, ,58,37,15, 
34, , , , , , , ,33, ,34, , ,35,14, ,59,37,15, 
35, , , , , , , ,33, ,34, , ,35,14, ,60,37,15, 
36, , , , , , , , , , , , , , , , , , , 
37, , , , , , , ,33, ,34, , ,35,14, ,61,37,15, 
38, , , , , , , , , , , , , , , , , , , 
39, , , , , , , ,39, ,40, , ,41,14, , ,42,15,62
40, , , , , , , ,39, ,40, , ,41,14, , ,42,15,63
41, , , , , , , ,39, ,40, , ,41,14, , ,42,15,64
42, , , , , , , ,39, ,40, , ,41,14, , ,42,15,65
43, , , , , , , , , , , , , , , , , , , 
44, , , , , , , , , , , ,67, , ,66, , , , 
45, , , , , , , , , , , ,67, , ,68, , , , 
46, , , , , , , , , , , , , , , , , , , 
47, , , , , , , , , , , , , , , , , , , 
48, , , , , , , , , , , , , , , , , , , 
49, , , , , , , , , , , , , , , , , , , 
50, , , , , , , , , , , , , , , , , , , 
51, , , , , , , , , , , , , , , , , , , 
52, , , , , , , , , , , , , , , , , , , 
53, , , , , , , , , , , , , , , , , , , 
54, , , , , , , , , , , , , , , , , , , 
55, , , , , , , , , , , , , , , , , , , 
56, , , , , , , , , , , , , , , , , , , 
57, , , , , , , , , , , , , , , , , , , 
58, , , , , , , , , , , , , , , , , , , 
59, , , , , , , , , , , , , , , , , , , 
60, , , , , , , , , , , , , , , , , , , 
61, , , , , , , , , , , , , , , , , , , 
62, , , , , , , , , , , , , , , , , , , 
63, , , , , , , , , , , , , , , , , , , 
64, , , , , , , , , , , , , , , , , , , 
65, , , , , , , , , , , , , , , , , , , 
66, , , , , , , , , , , , , , , , , , , 
67, , , , , , , , , , , , , , , , , , , 
68, , , , , , , , , , , , , , , , , , , 
69, , , , , , , , , , , , , , , , , , , 
70, , , , , , , , , , , , , , , , , , , 
71, , , , , , , , , , , ,75, , , , , , , 
72, , , , , , , , , , , , , , , , , , , 
73, , , , , , , , , , , ,77, , , , , , , 
74, , , , , , , , , , , , , , , , , , , 
75, , , , , , , , , , , , , , , , , , , 
76, , , , , , , , , , , , , , , , , , , 
77, , , , , , , , , , , , , , , , , , , 
78, , , , , , , , , , , , , , , , , , , 
